id,title,subtitle,tag,rating_number,instructor,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,publish_date,discounted_price,original_price,discount_percentage,category,sub_category,sub_sub_category,section_number,lectures_number,time_spend,level,language,url
11,Grasshopper & GIS & Excel Interoperability,Rhino 7 downloadable course files,N/A,"Xếp hạng: 5,0/55,0 (1 xếp hạng)29 học viên","Wassef DabboussiArchitect and enthusiast instructor4,6 xếp hạng giảng viên645 đánh giá4671 học viên5 khóa họcExperienced Architect and BIM Manager with years of experience in Parametric Design to provide smart solutions for hard design problems.Received Masters in Architecture from Washington University in St. Louis as a Fulbright Scholar sponsored by the US Department of State.Taught Parametric Design at the FabLab Berlin, the School of Fashion Design at the KU Linz, Austria, and the School of Design at the BAU Berlin Germany.Taught hundreds of students about parametric design and how to comprehend visual programming and use it as a tool to achieve new design challenges.Worked at famous architectural studios such as Ateliers Jean Nouvel, Paris, Gerber Architekten and LAVA Laboratory for Visionary Architecture in Berlin.Hiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 1/2023,1.669.000 ₫,N/A,N/A,Thiết kế,Thiết kế kiến trúc,GIS (Hệ thống thông tin địa lý),N/A,N/A,N/A,N/A,Tiếng Anh,https://www.udemy.com/course/grasshopper-gis-excel-interoperability/
12,(6) MR_ Material & Resources of LEED BD+C v4,provided by He-Kui Sustainability Matters,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)7 học viên","Ming-Feng NianUSGBC Faculty / LEED AP with 5 specialties4,8 xếp hạng giảng viên129 đánh giá1650 học viên16 khóa họcOne of the two people in the US that are holding 5 LEED AP specialties and also verified as USGBC Faculty.How to verify?Please Google and visit the 'USGBC People Directory'.Apply the 3 filters on its left side:1 LEED Credentials- LEED AP ND2 Associations- USGBC Faculty3 Country/region- United StatesYou will get a result as 4 people but among them, only 2 are 'LEED AP (Legacy + 5 Specialties)Ming-Feng Nian 粘名豐,USGBC Faculty, LEED AP (Legacy + 5 specialties),WELL AP, SITES AP, Urban GHG Inventory Specialist,EFFAS Certified ESG Analyst (CESGA),GRI Certified Sustainability Professional,CFA Institute Certificate in ESG Investing,PfMP, PMP, PMI-ACP/PBA/RMP/SPChicago Booth MBA, UMichigan MEng CEMI do have all of the above. Check my ""Website"" on this page, it contains links to my credentials.I moved from Taiwan to Chicago in Oct 2023.Welcome to new opportunities.Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 3/2023,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế kiến trúc,LEED,1 phần,12 bài giảng,1 giờ 8 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/6-mr_leed-bdc-v4-en/
13,2D Game App Development for Special Needs / Neurodiverse,Specifically tailored step by step for the Special Needs community whose hidden talents only needs uncovering,N/A,"Xếp hạng: 5,0/55,0 (1 xếp hạng)3.008 học viên","Atar SinghEntrepreneur4,4 xếp hạng giảng viên241 đánh giá30321 học viên9 khóa họcAtar has graduated with a Masters in Business Administration(Finance). With an industrial experience of 31 years, he has been in the field of dealing with Special Needs people for the past 8 years. With the founding of Infinite Minds Academy, Atar has been fortunate enough to understand the Special Needs people better. Dealing with the students and parents, and particularly understanding the parents’ situation via firsthand has been a daily routine that enabled him to serve them well. He has successfully trained them to emerge champions in various local and international events. While many of the participant in his academy has moved on to become successful GIG entrepreneurs.Having been tasked to handle a pilot project of training the Special Needs students at SMK Sunway, he and his team embarked on continuous training at the school. Noting their passion and excellent skills, we led the students to participate in the International Cyber Fair competition in 2014. This White House endorsed annual contest has involved more than 5.5 million students from 50,000 schools across 115 countries—and is considered the longest running international online event of its kind. Though being a gigantic task, the team and the students participated enthusiastically, and eventually emerged Platinum award winners. The journey began there-on, to this day where the Special Needs people are being reshaped to be independent entrepreneurs after acquiring digital tech skills. Hiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 4/2024,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế trò chơi,Giáo dục đặc biệt,3 phần,12 bài giảng,4 giờ 56 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/2d-game-app-development-course-for-special-needs-people/
14,"LRFD: Design of Highway Bridge Superstructures, Part 2",Structural Design of Bridge Superstructur,N/A,"Xếp hạng: 5,0/55,0 (3 xếp hạng)58 học viên","Emad NassarA Structural Engineer3,9 xếp hạng giảng viên160 đánh giá980 học viên27 khóa họcEngineering Summary:Eight years of Canadian experience in heavy industrial projects Have worked in Several Multi-Hundred million Dollar Projects Solid technical background through education in Canada, USA, and Egypt Master’s Degree in Civil Engineering from SDSU, SD State, USA Experience in structural design of reinforced concrete, wood and steel structures Familiar with structural software like STAAD Pro 2008, Risa3D, Auto CAD and SAP 2000 Field experience in Industrial Projects (Saskatoon, Ft. McMurray & Edmonton in Canada)Key Skills:Highly Analytical Team PlayerHighly Adaptable Work well both in a team and independentlyHard Worker Good Communication SkillsEfficiently manage people and resources Fluent in English while Arabic is my mother tongueMost-recent Professional Exposure:Licensed Engineer II (on a Task by Task Basis) April 2015- PresentPrecision Structural Engineers Inc. (PSEI), Klamath Falls, OR, USA 97601 Reviewed Structural design and Drawings of all Canadian projects within the firm Issued recommendations to the design engineer before stamping the design Designed a prefab building made out of Hot Rolled Steel Sections Designed a Wood house for a client Reviewed the Structural Design for the American Dream Mall in NJ, USA Projects include: Mandala Houses, Steel Domes, Wood Buildings, SIP Buildings and PergolasHiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 2/2023,449.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Thiết kế cấu trúc,3 phần,60 bài giảng,26 giờ 11 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/using-lrfd-to-design-highway-bridge-superstructures-part-2/
15,Graphic Design Theory - Space,Elevate your designs with perspective and depth,N/A,"Xếp hạng: 5,0/55,0 (4 xếp hạng)46 học viên","Martin PerhiniakYes I'm a Designer4,5 xếp hạng giảng viên56715 đánh giá228796 học viên53 khóa họcMartin is a graphic designer and an Adobe Certified Instructor. He was a presenter at Adobe MAX the ultimate creative in 2018 and was recently voted one of the top 10 Adobe instructors in the world. Over 100,000 students are studying from his online courses from over 200 countries. As a designer and illustrator he worked for companies like Pixar, BBC, Mattel and as an instructor taught teams at Google, Ben&Jerry's, House of Lords and Oxford University Press.",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 5/2022,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế & Minh họa đồ họa,Lý thuyết thiết kế,3 phần,24 bài giảng,1 giờ 41 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/graphic-design-theory-space/
16,Create Profitable 3D Mushroom land NFT and METAVERSE Project,"Design 3D NFTs and METAVERSE assets, Learn designing Profitable NFT Art, create CRYPTO Art Sell",N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)2.811 học viên","Muhammed Kosek3D NFT & Metaverse Expert4,5 xếp hạng giảng viên245 đánh giá23150 học viên11 khóa họcHello, I am Muhammed I have been making impressive 3D models with Blender for a long time. I specialize in creating and designing 3D Assets, Avatars, Animations for NFT and METAVERSE projects. I would like to present you this wealth of knowledge, which I started as a hobby years ago. I would like to meet you in my courses that are constantly updated and use short self-explanatory. My courses are suitable for all learners from beginner to master.We will create up-to-date, realistic and creative modeling lessons.I suggest you watch all of my courses. Because my courses contain different techniques and tips for creating 3D NFT and METAVERSE characters and assets.I would like to deal with you closely on the issue you are stuck with and having problems.In my courses, I provide high quality 3D Modeling, 3D Metaverse design and 3D NFT project development training to thousands of students from 149 countries. From the moment you join my courses, I will support you in every matter you have problems and need help with.Together, we can open the doors of completely free and original education.Since I don't like courses that last for hours and turn into information confusion, I will meet you with a simple and understandable technique.See you in my trainings..Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 2/2022,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Metaverse,3 phần,8 bài giảng,1 giờ 24 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/profitable-3d-nfts/
17,Architecture Planning of 4000 sqmt Luxurious Bungalow,"Learn how to do Architectural Planning, Interior design of Luxurious Bungalow and Client Presentation all in one place!",N/A,"Xếp hạng: 5,0/55,0 (1 xếp hạng)6 học viên","Hokydemy TeamShaping Professionals in Project Design & Management4,1 xếp hạng giảng viên50 đánh giá250 học viên12 khóa họcHokydemy (Horizon Sky Academy), a Horizon Sky Group Company, aims to become the world's largest platform for engineers and architects in the field of Project Design & Management.We will be providing lectures on 1000+ real life projects already completed by us in various sectors like:Residential Townships & Club; Hotel & Resorts; Corporate Offices; Malls & Multiplex; Institutes; Hospitals; Museums; Power Plants; S.E.Z. / I.T. Parks; Industries; Pharma; R&D Centers; Food & Dairy;  Cattle Farms ; Sports Complexes; Golf Courses ; Amusement Parks; Mega Events, etc.We will show how all these projects are designed and executed from start to end. We will also provide you with working AutoCAD drawings of these projects, PPTs, 3D walkthroughs, Excel file of estimation and costing, etc. along with video lectures.If you want to learn the process of designing/planning/executing any engineering or architectural project, Hokydemy is your go to place. All these projects have been done hands on by us, so we are the perfect place to kick start your learning journey!Hiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 8/2023,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế kiến trúc,Thiết kế kiến trúc,6 phần,9 bài giảng,1 giờ 9 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/architecture-planning-of-4000-sqmt-luxurious-bungalow/
18,Blender for 3D Printing - Design a Pet Product (203),Create 3D Print Products with Blender (2023),N/A,"Xếp hạng: 5,0/55,0 (3 xếp hạng)94 học viên","Jayson Wall3D Printing Designer4,6 xếp hạng giảng viên383 đánh giá3090 học viên7 khóa họcI'm an optimistic futurist who loves to 3D design for 3D Printing. I have been in the 3D printing industry since 2014 and have helped thousands of people learn the super power of 3D print design. I love creating daily and helping my students boost their creativity. I believe 3D print designers should get paid.Feel free to signup for any of our classes and our team will help answer any of your questions if you get stuck. keep creating,JwallHiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 1/2024,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Điêu khắc 3D,7 phần,29 bài giảng,2 giờ 54 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/blender-product-design-dog/
19,How to Draw Cute Halloween Stuff - Drawing Cartoon Animation,Learn to Draw Cute Halloween Things for Beginners,Xếp hạng cao nhất,"Xếp hạng cao nhấtXếp hạng: 5,0/55,0 (13 xếp hạng)39 học viên","Enrique PlazolaTeaching You to Draw4,8 xếp hạng giảng viên1527 đánh giá1367 học viên34 khóa họcHI, I teach beginners to go from newbies to FULL BLOWN ARTISTS. I go over the basics of drawing, fantasy art, art advice and so much more! If you have never drawn in your life, you found the right teacher. I teach anyone to draw step by step in a simple and easy way to learn. I'm based in the united states and have been drawing for 15 years. I went to art school in Art Center School of Design in Pasadena. I worked at movie studios, game studios, tshirt companies, theme parks and more.  I post lessons often so stay tuned!",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 12/2021,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Anime,10 phần,10 bài giảng,33 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/how-to-draw-cute-halloween-stuff/
20,Photoshop Professor Notes - Volume 2 -  Great Selections,A guide to creating amazing images using the newest version of the industry’s preferred software.,N/A,"Xếp hạng: 5,0/55,0 (1 xếp hạng)659 học viên","John WarrenProfessional Photographer and Adobe Certified Instructor4,2 xếp hạng giảng viên51 đánh giá3195 học viên5 khóa họcJohn's background is in photography. He was first introduced to photography way back in high school and has been developing film and making prints ever since. He has had a variety of jobs in the photographic industry ranging from motion picture lab technician to portraits & weddings to commercial studio work to medical photography lab technician to newspaper photographer and most recently shooting virtual tours and panoramic images. John first started teaching, actually the unofficial teaching assistant, at the School of Modern Photography in Montreal back in the early 70's when he himself was still a student. The lead instructor recognized John's ability to explain photographic principals and lighting techniques to other students and asked him to participate as the unofficial teaching assistant. The same thing more or less happened when he studied at Dawson College years later. When John moved to Toronto in the early 80's, he found employment with a portrait studio company and when he completed his training and probation period he became the new West Toronto Photography Trainer. He also helped develop the corporate training policies & procedures for that company's North American operation. After working for the Metroland Group of Community Newspapers as a photographer for over 8 years, John began teaching at Humber College and in 2003 he received the Digital Imaging Training Centre's ""Teacher of the Year"" award. In 2005, John was the first ever recipient of the Dean Collins Photoshop Educator Scholarship Award presented by Scott Kelby, President of the National Association of Photoshop Professionals (NAPP), at the PhotoshopWorld Convention in Boston September 2005. John retired from Humber College after 20 years in 2020 and is currently still shooting pro sports, mainly hockey at the OHL and AHL levels and on occasion some NHL.</p>Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 9/2014,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Adobe Photoshop,1 phần,8 bài giảng,1 giờ 19 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/photoshop-professor-notes-volume-2-great-selections/
21,Draw Anime Sticker Designs in Procreate (Complete Workflow),Transform your anime styled characters into stickers without drawing chibis!,N/A,"Xếp hạng: 5,0/55,0 (13 xếp hạng)28 học viên","Lara MilitaruDigital Illustrator & Coach4,9 xếp hạng giảng viên114 đánh giá239 học viên7 khóa họcI am glad you landed on my profile and I hope you are interested in the classes that I teach. I am a published Children Book Illustrator, an avid learner and a decent coach. Maybe better than decent, but you can tell me that in the reviews of my classes :)I would love to get to see your work in the assignments sections of my classes. I will give you feedback on your work, whether it's final or in progress.Also, help me help you by telling me what you struggle with the most, then I will be able to make classes that will answer your questions.Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 1/2023,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Ứng dụng vẽ hình minh họa kỹ thuật số Procreate,4 phần,14 bài giảng,2 giờ 58 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/draw-anime-sticker-designs-in-procreate-complete-workflow/
